Time (ns),Native contact,Rg (nm),RMSD (nm)
14.6,5.60E-01,1.5064,0.5278148
14.7,5.61E-01,1.5005,0.5588681
14.8,5.61E-01,1.5076,0.5914064
14.9,5.78E-01,1.52025,0.6022556
15,5.63E-01,1.514,0.5917039
15.1,5.79E-01,1.52035,0.5600982
15.2,5.69E-01,1.52236,0.5789531
15.3,5.98E-01,1.51124,0.5276023
15.4,5.74E-01,1.52361,0.5722241
15.5,5.69E-01,1.50774,0.5566
15.6,6.06E-01,1.50045,0.5329183
15.7,6.01E-01,1.49706,0.5044702
15.8,5.61E-01,1.49542,0.5489376
15.9,5.59E-01,1.50868,0.5697108
16,5.65E-01,1.51021,0.5833035
16.1,5.73E-01,1.52015,0.5940379
16.2,5.90E-01,1.48505,0.550684
16.3,5.77E-01,1.49229,0.518221
16.4,5.63E-01,1.48959,0.5052192
16.5,5.32E-01,1.49144,0.5109088
16.6,5.35E-01,1.49187,0.5165658
16.7,5.51E-01,1.49295,0.5379178
16.8,5.55E-01,1.49533,0.527292
16.9,5.31E-01,1.49051,0.533134
17,5.49E-01,1.4879,0.5256361
17.1,5.04E-01,1.52916,0.5600438
17.2,5.43E-01,1.50059,0.567761
17.3,5.22E-01,1.54254,0.6502725
17.4,5.15E-01,1.52278,0.6137921
17.5,5.24E-01,1.51255,0.6154979
17.6,5.05E-01,1.52564,0.5885713
17.7,5.22E-01,1.52486,0.5953665
17.8,5.24E-01,1.50302,0.6291526
17.9,5.31E-01,1.5247,0.6645507
18,4.96E-01,1.5254,0.649941
18.1,5.03E-01,1.54249,0.6654434
18.2,4.82E-01,1.55582,0.6743563
18.3,4.83E-01,1.55515,0.6993023
18.4,5.01E-01,1.49772,0.597885
18.5,4.92E-01,1.49866,0.5597224
18.6,5.19E-01,1.50945,0.5528343
18.7,4.97E-01,1.54404,0.5742512
18.8,4.98E-01,1.54613,0.5475187
18.9,5.04E-01,1.55641,0.5158153
19,5.06E-01,1.53951,0.5239004
19.1,4.94E-01,1.52133,0.5305215
19.2,4.81E-01,1.54295,0.540962
19.3,4.87E-01,1.51667,0.489822
19.4,4.66E-01,1.51928,0.5047839
19.5,4.72E-01,1.51069,0.5200431
19.6,4.89E-01,1.49425,0.4497305
19.7,5.06E-01,1.5184,0.4918866
19.8,4.95E-01,1.51837,0.472718
19.9,4.90E-01,1.53697,0.4658375
20,5.02E-01,1.52449,0.5227457
20.1,5.02E-01,1.53024,0.5317329
20.2,4.96E-01,1.57312,0.5184833
20.3,5.04E-01,1.53374,0.5166551
20.4,4.95E-01,1.56426,0.5946253
20.5,5.11E-01,1.54387,0.5822203
20.6,4.81E-01,1.5379,0.5054437
20.7,4.84E-01,1.54974,0.5733972
20.8,4.61E-01,1.56727,0.6000548
20.9,4.58E-01,1.57235,0.6155256
21,4.71E-01,1.55615,0.6590498
21.1,4.73E-01,1.56837,0.5831691
21.2,4.84E-01,1.58099,0.5690331
21.3,4.65E-01,1.5568,0.541458
21.4,4.76E-01,1.58497,0.5617325
21.5,4.87E-01,1.55231,0.5615858
21.6,4.79E-01,1.57982,0.5048991
21.7,4.70E-01,1.55255,0.619261
21.8,4.63E-01,1.51834,0.6308966
21.9,4.28E-01,1.57603,0.7343769
22,4.20E-01,1.5654,0.6962959
22.1,4.48E-01,1.53896,0.643697
22.2,4.74E-01,1.5265,0.6585512
22.3,4.64E-01,1.5185,0.6307368
22.4,4.57E-01,1.51157,0.627269
22.5,4.49E-01,1.539,0.6420547
22.6,4.58E-01,1.52296,0.6384608
22.7,4.84E-01,1.50569,0.5995342
22.8,4.49E-01,1.51966,0.5509442
22.9,4.61E-01,1.55178,0.578756
23,4.87E-01,1.53384,0.6101724
23.1,4.70E-01,1.55047,0.6565642
23.2,4.65E-01,1.52448,0.6379278
23.3,4.85E-01,1.52289,0.6123121
23.4,4.69E-01,1.5578,0.6562791
23.5,4.80E-01,1.55764,0.6354294
23.6,4.96E-01,1.53833,0.5762275
23.7,4.53E-01,1.55319,0.6186477
23.8,4.39E-01,1.58668,0.6298834
23.9,4.41E-01,1.54644,0.5941235
24,4.70E-01,1.52567,0.5698773
24.1,4.57E-01,1.56874,0.6209304
24.2,4.36E-01,1.60511,0.6837266
24.3,4.28E-01,1.58775,0.7522755
24.4,4.44E-01,1.57586,0.682734
24.5,4.27E-01,1.54297,0.5803983
24.6,4.47E-01,1.55483,0.6228842
24.7,4.32E-01,1.56926,0.6762833
24.8,4.06E-01,1.59203,0.7104092
24.9,4.38E-01,1.53876,0.6726544
25,4.23E-01,1.58387,0.7149249
25.1,4.44E-01,1.56143,0.6996963
25.2,4.28E-01,1.59616,0.7069979
25.3,4.25E-01,1.57054,0.6442654
25.4,4.02E-01,1.62361,0.7315665
25.5,4.12E-01,1.60977,0.7385788
25.6,4.28E-01,1.59082,0.6721593
25.7,4.39E-01,1.59881,0.690704
25.8,4.33E-01,1.60177,0.6707647
25.9,4.22E-01,1.55934,0.638231
