Time (ns),Native contact,Rg (nm),RMSD (nm)
14.6,5.48E-01,1.23495,0.5950443
14.7,5.56E-01,1.23416,0.5751917
14.8,5.51E-01,1.25322,0.545229
14.9,5.61E-01,1.22361,0.5253085
15,5.51E-01,1.23771,0.4754045
15.1,5.49E-01,1.23564,0.5310517
15.2,5.71E-01,1.2221,0.5523955
15.3,5.73E-01,1.22939,0.517257
15.4,5.52E-01,1.26773,0.538963
15.5,5.59E-01,1.23374,0.5099454
15.6,5.77E-01,1.24112,0.5633432
15.7,5.45E-01,1.25703,0.5169732
15.8,5.51E-01,1.23703,0.5285457
15.9,5.67E-01,1.23809,0.5773129
16,5.76E-01,1.21677,0.6015097
16.1,5.73E-01,1.22512,0.6017758
16.2,5.78E-01,1.22719,0.5830339
16.3,6.03E-01,1.23925,0.6280079
16.4,5.98E-01,1.25751,0.5468369
16.5,5.98E-01,1.24535,0.6070786
16.6,6.04E-01,1.22644,0.5821989
16.7,5.92E-01,1.22915,0.5751678
16.8,6.13E-01,1.23279,0.56566
16.9,5.99E-01,1.23193,0.5715384
17,5.77E-01,1.24968,0.5518632
17.1,5.74E-01,1.22579,0.5932992
17.2,5.72E-01,1.24984,0.5604917
17.3,5.90E-01,1.23654,0.5411202
17.4,6.01E-01,1.22975,0.5311266
17.5,6.03E-01,1.23235,0.5507974
17.6,5.84E-01,1.23867,0.5439109
17.7,6.00E-01,1.21484,0.5937571
17.8,5.99E-01,1.22713,0.562942
17.9,6.02E-01,1.21913,0.5664483
18,5.88E-01,1.22031,0.6140881
18.1,5.99E-01,1.21415,0.5843565
18.2,5.92E-01,1.21444,0.566089
18.3,6.10E-01,1.19757,0.5438296
18.4,5.82E-01,1.21468,0.5092555
18.5,5.64E-01,1.22663,0.5214759
18.6,5.82E-01,1.21537,0.4757175
18.7,5.70E-01,1.21296,0.5322056
18.8,6.07E-01,1.21696,0.5527189
18.9,5.96E-01,1.22306,0.5294514
19,5.96E-01,1.22109,0.5148495
19.1,5.94E-01,1.22378,0.5850817
19.2,5.83E-01,1.22377,0.5486768
19.3,5.72E-01,1.23008,0.5610731
19.4,5.78E-01,1.2244,0.5942059
19.5,6.02E-01,1.21542,0.5157831
19.6,5.80E-01,1.24029,0.4925644
19.7,5.64E-01,1.23145,0.5049889
19.8,5.69E-01,1.24362,0.5066977
19.9,5.84E-01,1.23054,0.5149117
20,5.77E-01,1.24233,0.5156654
20.1,5.87E-01,1.237,0.49753
20.2,5.95E-01,1.22993,0.4816685
20.3,5.94E-01,1.24519,0.4585373
20.4,5.80E-01,1.23951,0.4891718
20.5,5.94E-01,1.24881,0.5092653
20.6,5.87E-01,1.22872,0.5324295
20.7,6.02E-01,1.24661,0.5143425
20.8,6.03E-01,1.26737,0.5057408
20.9,6.00E-01,1.23745,0.5216527
21,6.02E-01,1.2626,0.4992909
21.1,5.96E-01,1.26408,0.5238165
21.2,6.02E-01,1.24519,0.5452757
21.3,5.94E-01,1.24188,0.5820413
21.4,6.10E-01,1.21608,0.5643392
21.5,6.01E-01,1.24128,0.5501611
21.6,6.01E-01,1.2457,0.5485706
21.7,5.83E-01,1.21843,0.5679659
21.8,6.02E-01,1.24955,0.5108109
21.9,5.90E-01,1.24816,0.5011016
22,6.26E-01,1.25649,0.535524
22.1,5.91E-01,1.2334,0.5443191
22.2,6.04E-01,1.24007,0.5309293
22.3,5.96E-01,1.24774,0.5179815
22.4,5.78E-01,1.23659,0.5981117
22.5,5.78E-01,1.25944,0.5167663
22.6,6.00E-01,1.25272,0.5819592
22.7,5.97E-01,1.24765,0.5925179
22.8,5.93E-01,1.24647,0.5518312
22.9,5.81E-01,1.25875,0.6170922
23,6.14E-01,1.20699,0.5552252
23.1,5.93E-01,1.26003,0.6105004
23.2,5.74E-01,1.25115,0.5816775
23.3,5.73E-01,1.24772,0.5147424
23.4,6.08E-01,1.22615,0.5372206
23.5,6.04E-01,1.23987,0.4945852
23.6,5.98E-01,1.22686,0.5448684
23.7,6.11E-01,1.21378,0.5695758
23.8,5.86E-01,1.21024,0.5851499
23.9,5.83E-01,1.20117,0.6289662
24,5.99E-01,1.19503,0.6386827
24.1,5.71E-01,1.20837,0.6464306
