Time (ns),Native contact,Rg (nm),RMSD (nm)
14.6,4.35E-01,1.55177,0.8056541
14.7,4.41E-01,1.57372,0.75326
14.8,4.53E-01,1.62489,0.7573007
14.9,4.52E-01,1.58672,0.7218454
15,4.66E-01,1.49415,0.6760414
15.1,4.79E-01,1.46121,0.7021911
15.2,4.77E-01,1.47503,0.7043767
15.3,4.56E-01,1.50319,0.7187223
15.4,4.61E-01,1.51652,0.7244841
15.5,4.47E-01,1.48108,0.6950203
15.6,4.45E-01,1.47091,0.6406443
15.7,4.51E-01,1.52817,0.6680843
15.8,4.72E-01,1.49125,0.6221315
15.9,4.40E-01,1.44945,0.5878505
16,4.62E-01,1.4996,0.6400761
16.1,4.31E-01,1.55116,0.6358025
16.2,4.54E-01,1.54128,0.6629868
16.3,4.40E-01,1.548,0.6816399
16.4,4.21E-01,1.48949,0.6478949
16.5,4.37E-01,1.51148,0.6169176
16.6,4.21E-01,1.57294,0.6772899
16.7,4.03E-01,1.6258,0.7416405
16.8,3.84E-01,1.55456,0.6798069
16.9,3.89E-01,1.52345,0.6452929
17,4.15E-01,1.4496,0.5785892
17.1,3.87E-01,1.4688,0.5288381
17.2,3.59E-01,1.42484,0.5310518
17.3,3.55E-01,1.44899,0.5772293
17.4,3.52E-01,1.49965,0.6396568
17.5,4.55E-01,1.4711,0.6563567
17.6,4.33E-01,1.49152,0.7657833
17.7,4.62E-01,1.4703,0.8583817
17.8,4.91E-01,1.49153,0.8984068
17.9,4.50E-01,1.43887,0.9572034
18,4.49E-01,1.46056,1.0543772
18.1,4.17E-01,1.41523,1.0252746
18.2,4.02E-01,1.40436,0.9783958
18.3,4.04E-01,1.41799,1.0641564
18.4,4.08E-01,1.43363,1.0734153
18.5,4.28E-01,1.38134,1.0296257
18.6,4.29E-01,1.3915,0.9115946
18.7,4.46E-01,1.33804,0.9279982
18.8,4.22E-01,1.31654,0.9265798
18.9,4.19E-01,1.29878,0.8803914
19,4.45E-01,1.29443,0.9297641
19.1,3.77E-01,1.33236,0.9705315
19.2,4.05E-01,1.33758,0.9009149
19.3,3.97E-01,1.29175,0.9220576
19.4,4.23E-01,1.27699,0.8572041
19.5,4.04E-01,1.28604,0.9478596
19.6,3.99E-01,1.26685,0.9490949
19.7,4.12E-01,1.293,0.9843916
19.8,4.07E-01,1.27803,0.9621077
19.9,3.78E-01,1.26725,0.9814825
20,3.88E-01,1.28259,0.9232004
20.1,3.55E-01,1.30511,0.9362948
20.2,3.78E-01,1.28288,0.867763
20.3,3.71E-01,1.31088,0.7790754
20.4,3.87E-01,1.31365,0.7920318
20.5,4.04E-01,1.32833,0.822697
20.6,3.69E-01,1.44056,0.8347961
20.7,3.89E-01,1.36032,0.8266616
20.8,4.01E-01,1.36933,0.9702085
20.9,4.19E-01,1.35104,0.8904548
21,4.03E-01,1.3556,0.9291762
21.1,4.08E-01,1.40641,0.9362142
21.2,3.65E-01,1.3965,1.0320262
21.3,3.88E-01,1.40018,0.971065
21.4,4.10E-01,1.36554,0.9087588
21.5,3.85E-01,1.28325,0.8668712
21.6,3.67E-01,1.35538,0.8610225
21.7,3.78E-01,1.31206,0.8244219
21.8,3.96E-01,1.35318,0.8509652
21.9,3.82E-01,1.3445,0.7892649
22,3.48E-01,1.366,0.8021134
22.1,3.70E-01,1.38897,0.7965649
22.2,3.58E-01,1.385,0.8526208
22.3,3.71E-01,1.40047,0.8675418
22.4,3.90E-01,1.38436,0.797137
22.5,4.00E-01,1.4202,0.7219139
22.6,3.92E-01,1.35362,0.7485347
22.7,3.67E-01,1.41047,0.7741803
22.8,3.59E-01,1.34129,0.7686757
22.9,3.68E-01,1.36036,0.8048452
23,3.66E-01,1.37142,0.7877491
