Time (ns),Native contact,Rg (nm),RMSD (nm)
14.6,1.43E-01,2.19237,1.8649638
14.7,1.44E-01,2.11389,1.8924806
14.8,1.39E-01,2.13716,1.9750469
14.9,1.43E-01,2.32864,2.0887809
15,1.38E-01,2.33863,2.0540185
15.1,1.24E-01,2.32308,1.9357022
15.2,1.30E-01,2.17701,1.8686565
15.3,1.30E-01,2.21112,1.9102206
15.4,1.35E-01,2.14407,1.9059403
15.5,1.43E-01,2.12926,1.8676122
15.6,1.27E-01,2.09964,1.8512391
15.7,1.09E-01,2.09281,1.8672879
15.8,1.28E-01,2.17322,1.851802
15.9,1.49E-01,2.04985,1.8196466
16,1.40E-01,2.0699,1.9556738
16.1,1.48E-01,2.06655,1.8411651
16.2,1.17E-01,2.15535,1.9669882
16.3,1.27E-01,2.18872,1.9887317
16.4,1.19E-01,2.20157,2.0138893
16.5,1.31E-01,2.16452,2.0707302
16.6,1.37E-01,2.13537,1.9543699
16.7,1.26E-01,2.22129,1.9283476
16.8,1.41E-01,2.1989,1.8819114
16.9,1.40E-01,2.06541,1.848711
17,1.50E-01,2.03323,1.7503607
17.1,1.41E-01,1.81134,1.6110852
17.2,1.49E-01,1.71288,1.4947382
17.3,1.34E-01,1.88075,1.6961086
17.4,1.29E-01,1.77947,1.4812158
17.5,1.31E-01,1.81941,1.4731083
17.6,1.14E-01,1.81053,1.4680984
17.7,1.21E-01,1.62996,1.2478777
17.8,1.16E-01,1.66054,1.2695833
17.9,1.25E-01,1.69575,1.3298279
18,1.19E-01,1.84195,1.5668187
18.1,1.35E-01,2.01635,1.7186983
18.2,1.53E-01,2.0006,1.7187051
18.3,1.30E-01,1.84714,1.6325338
18.4,1.67E-01,1.68713,1.454108
18.5,1.51E-01,1.79267,1.55703
18.6,1.47E-01,1.93506,1.5981953
18.7,1.32E-01,1.75698,1.5691233
18.8,1.38E-01,1.78087,1.5625893
18.9,1.36E-01,1.57636,1.3774995
19,1.37E-01,1.55697,1.3879077
19.1,1.27E-01,1.6039,1.4625003
19.2,1.34E-01,1.51278,1.3319829
19.3,1.40E-01,1.48668,1.3180766
19.4,1.60E-01,1.54933,1.429558
19.5,1.57E-01,1.52698,1.4472036
19.6,1.24E-01,1.50744,1.4345589
19.7,1.47E-01,1.39564,1.337056
19.8,1.67E-01,1.44666,1.3595769
19.9,1.93E-01,1.41841,1.3001469
20,1.58E-01,1.4102,1.2873265
20.1,1.64E-01,1.41855,1.3035101
20.2,1.69E-01,1.51241,1.2690481
20.3,1.73E-01,1.42125,1.2787428
20.4,1.63E-01,1.40948,1.2710817
20.5,1.56E-01,1.39997,1.3247435
20.6,1.35E-01,1.39242,1.3047345
20.7,1.51E-01,1.37751,1.2885228
20.8,1.28E-01,1.48603,1.3627647
20.9,1.52E-01,1.38588,1.2659247
21,1.43E-01,1.43503,1.2841811
21.1,1.32E-01,1.49391,1.300383
21.2,1.42E-01,1.42199,1.2890913
21.3,1.48E-01,1.47448,1.3822263
21.4,1.45E-01,1.4654,1.4298401
21.5,1.22E-01,1.50977,1.420504
21.6,1.10E-01,1.47524,1.4501942
21.7,1.34E-01,1.4654,1.3570378
21.8,1.40E-01,1.47963,1.356872
21.9,1.49E-01,1.38999,1.445431
22,1.37E-01,1.36454,1.3740441
22.1,1.22E-01,1.32211,1.3994429
22.2,1.40E-01,1.29396,1.3358898
22.3,1.54E-01,1.24689,1.2805147
22.4,1.33E-01,1.26882,1.3235083
22.5,1.42E-01,1.26811,1.3889264
22.6,1.36E-01,1.31396,1.4294076
22.7,1.47E-01,1.27278,1.3625258
22.8,1.28E-01,1.26715,1.2628864
22.9,1.28E-01,1.29974,1.2808108
23,1.37E-01,1.32286,1.3422523
23.1,1.30E-01,1.3444,1.3495208
23.2,1.46E-01,1.35256,1.3125949
23.3,1.36E-01,1.38334,1.2621632
23.4,1.32E-01,1.36224,1.238572
23.5,1.17E-01,1.38114,1.2570922
23.6,1.32E-01,1.35397,1.2606305
23.7,1.50E-01,1.35663,1.2297038
23.8,1.59E-01,1.32076,1.2517003
23.9,1.53E-01,1.29478,1.1918795
24,1.46E-01,1.35213,1.2207056
24.1,1.57E-01,1.31966,1.1604862
24.2,1.66E-01,1.25823,1.2220008
24.3,1.36E-01,1.32851,1.257834
24.4,1.38E-01,1.31508,1.350317
24.5,1.33E-01,1.29051,1.3965013
24.6,1.48E-01,1.25888,1.3919199
24.7,1.59E-01,1.28928,1.2640612
24.8,1.38E-01,1.28718,1.3342974
24.9,1.37E-01,1.30738,1.4117501
25,1.50E-01,1.25221,1.2614242
25.1,1.45E-01,1.24397,1.3775434
25.2,1.55E-01,1.25567,1.3351185
25.3,1.48E-01,1.2607,1.3497096
25.4,1.30E-01,1.28406,1.3809447
25.5,1.29E-01,1.30492,1.4036739
25.6,1.32E-01,1.26672,1.3793002
25.7,1.40E-01,1.24841,1.4108863
25.8,1.47E-01,1.23754,1.3900185
25.9,1.62E-01,1.24964,1.4724892
26,1.28E-01,1.27926,1.4306788
26.1,1.29E-01,1.2159,1.4126672
26.2,1.56E-01,1.22622,1.4194912
26.3,1.51E-01,1.26123,1.3809825
26.4,1.76E-01,1.23851,1.3391684
26.5,1.19E-01,1.23739,1.3199635
26.6,1.21E-01,1.20862,1.2819055
26.7,1.27E-01,1.21351,1.2552693
26.8,1.29E-01,1.22955,1.3165468
26.9,1.53E-01,1.2105,1.2942493
27,1.30E-01,1.21498,1.3186119
27.1,1.11E-01,1.21743,1.3731329
27.2,1.35E-01,1.25807,1.3354003
27.3,1.32E-01,1.26782,1.3799616
27.4,1.50E-01,1.19171,1.3125044
27.5,1.44E-01,1.17725,1.3275864
27.6,1.28E-01,1.22947,1.3754661
27.7,1.19E-01,1.22404,1.3775179
27.8,1.29E-01,1.21155,1.4192164
27.9,1.43E-01,1.19055,1.3985355
28,1.23E-01,1.25563,1.4455056
28.1,1.35E-01,1.23493,1.3697062
28.2,1.20E-01,1.23234,1.3688525
28.3,1.39E-01,1.2126,1.3378203
28.4,1.19E-01,1.23386,1.342751
28.5,1.49E-01,1.29055,1.4182118
28.6,1.39E-01,1.43705,1.5470072
28.7,1.37E-01,1.39029,1.4952608
28.8,1.17E-01,1.46225,1.6167923
28.9,1.18E-01,1.39662,1.5276444
29,1.36E-01,1.38353,1.4463589
